Date,Open,High,Low,Close,Adj Close,Volume
2020-07-21,334.989990,338.410004,329.470001,331.570007,331.570007,0
2020-07-22,336.380005,339.609985,332.739990,337.190002,337.190002,0
2020-07-23,337.160004,341.549988,325.059998,330.260010,330.260010,0
2020-07-24,330.260010,342.019989,330.260010,341.600006,341.600006,0
2020-07-27,356.880005,364.230011,353.239990,357.649994,357.649994,0
2020-07-28,352.899994,360.209991,349.049988,356.209991,356.209991,0
2020-07-29,357.140015,357.649994,345.940002,351.839996,351.839996,0
2020-07-30,340.910004,349.720001,334.480011,339.609985,339.609985,0
2020-07-31,345.399994,352.130005,343.339996,350.700012,350.700012,0
2020-08-03,350.589996,350.709991,340.000000,345.880005,345.880005,0
2020-08-04,345.720001,361.679993,342.670013,361.399994,361.399994,0
2020-08-05,361.220001,373.850006,359.739990,363.859985,363.859985,0
2020-08-06,370.040009,371.170013,358.000000,362.369995,362.369995,0
2020-08-07,355.130005,357.679993,346.690002,350.739990,350.739990,0
2020-08-10,353.329987,360.809998,345.399994,346.119995,346.119995,0
2020-08-11,324.440002,333.739990,318.839996,320.559998,320.559998,0
2020-08-12,329.429993,329.880005,320.579987,321.070007,321.070007,0
